ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,PCB Mounted,Alt Supplier,Alt Supplier Part
1,74LVC245,"U1,U2,U9,U11",DIP20,4,74LVC245AN,TI,Farnell,1749756,No,Mouser,595-SN74LVC245AN
2,74HC590N,U3,DIP16,1,74HC590AN,TI,Farnell,1470786,No,Mouser,595-SN74HC590AN
3,74HC595N,U4,DIP16,1,74HC595N,TI,Farnell,9591664,No,Mouser,595-SN74HC595N
4,74ALS1035,U4,DIP14,1,74ALS1035N,TI,Mouser,595-SN74ALS1035N,No,,
5,74HCT138,U6,DIP16,1,74HCT138N,TI,Farnell,1470803,No,Mouser,595-SN74HCT138N
6,74HCT08N,U8,DIP14,1,74HCT08E,TI,Farnell,1105965,No,Mouser,595-SN74HCT08N
7,74HCT74N,"U10,U13",DIP14,2,74HCT74N,TI,Farnell,1470823,No,Mouser,595-SN74HCT74N
8,74HCT02N,U14,DIP14,1,74HCT02N,TI,Farnell,1105963,No,Mouser,595-SN74HCT02N
9,20 PIN IC SOCKET,"U1,U2,U9,U11",DIP20,4,1-2199298-6,TE Conn,Farnell,2445624,Yes,,
10,16 PIN IC SOCKET,"U3,U4,U6",DIP16,3,1-2199298-4,TE Conn,Farnell,2445622,Yes,,
11,14 PIN IC SOCKET,"U5,U8,U10,U13,U14",DIP16,5,1-2199298-3,TE Conn,Farnell,2445621,Yes,,
12,L4931CZ33-AP,U7,TO-92,1,L4931CZ33-AP,ST Micro,Farnell,2554986,Yes,Mouser,511-L4931CZ33-AP
13,WEMOS D1 MINI ESP32,U12,"2x10,2x10",1,,Wemos,Ebay,https://www.ebay.com/itm/TTGO-Wemos-MINI-D1-ESP32-WiFi-Bluetooth-Wemos-D1-Mini-ESP8266-ESP-32-Module-/183413480551,,,
14,2x10 SOCKET,U12,2x10,1,1-534206-0,TE Conn,Mouser,571-15342060,Yes,,
15,2x20 SOCKET,J4,2x20,1,M50-3002045,Harwin,Mouser,855-M50-3002045,Yes,,
16,2x2 SOCKET,"J3,J6",2x2,1,M20-7830246,Harwin,Mouser,855-M20-7830246,Yes,,
17,1x40 HEADER,"J1,J2,J5,J7,J8,J9,J10,J12","1x6,2x3,2x9,1x1,1x2,1x2,1x7,1x2",3,M20-9994046,Harwin,Mouser,855-M20-9994046,Yes,,
18,2x40 90 DEGREE HEADER,"P1,P2",2x40,1,9-103324-0,TE Conn,Mouser,571-9-103324-0,Yes,,
19,MICRO SD SOCKET,J11,MOLEX SD-503398-003-2,1,5033981892,Molex,Mouser,538-503398-1892,Yes,Farnell,2358234
20,BS170,"Q1,Q2,Q3,Q5,Q6",TO-92,5,BS170,On Semi,Mouser,512-BS170,Yes,RS,671-4736
21,BAT85,D1,DO-34-F,1,BAT85,Vishay,Mouser,78-BAT85S-TAP,Yes,Farnell,2889133
22,RESISTOR ARRAY 10K x 12 BUSSED,R1,1x13,1,4613X-101-103LF,Bourns,Mouser,652-4613X-1LF-10K,Yes,,
23,RESISTOR ARRAY 22K x 4 ISOLATED,R2,1x8,1,4608X-AP2-223LF,Bourns,Mouser,652-4608X-AP2-223LF,Yes,,
24,RESISTOR ARRAY 10K x 4 BUSSED,R3,1x5,1,4605X-AP1-103LF,Bourns,Mouser,652-4605X-AP1-103LF,Yes,,
25,RESISTOR 1K AXIAL 1/8 WATT,R4,AXIAL 3.2x1.8 1/8 WATT,1,299-1K-RC,Xicon,Mouser,299-1K-RC,Yes,RS,830-6747
26,CAPACITOR 100uF 50V 2mm RADIAL,C1,CAP-TH_BD5.0-P2.00-D0.8-FD,1,EEU-FR1C101,Panasonic,Mouser,667-EEU-FR1C101,Yes,,
27,CAPACITOR 100nF 2.5mm CERAMIC,"C2, C3",PKG-CERAMIC CAPACITOR 6X2,2,FG18X7R1H104KNT00,TDK,Mouser,810-FG18X7R1H104KNT0,Yes,,
28,CAPACITOR 10uF 50V 2mm RADIAL,C4,CAP-TH_BD5.0-P2.00-D0.8-FD,1,EEU-FR1H100,Panasonic,Mouser,667-EEU-FR1H100,Yes,,
29,PUSH BUTTON RIGHT ANGLE,SW1,KEY-TOUCH-DIP-7.5*6.2*5.85,1,PTS645VL582LFS,C&K,Mouser,611-PTS645VL582,Yes,,
30,PUSH BUTTON,SW2,KEY-6.0X3.5X3.5,1,PTS635SH50LFS,C&K,Mouser,611-PTS635SH50LFS,Yes,,
31,HEADER JUMPER 2.54mm,,,10,M7582-05,Harwin,Mouser,855-M7582-05,No,,
32,M3 11mm STANDOFF,,2.5mm HOLE,3,,RAF,Mouser,761-M0510-3-N,No,,
33,M2.5 18mm SCREW,,,3,,,,,No,,
34,M2.5 NUT,,,3,,,,,No,,
35,MICRO SD CARD,,,1,,,,,No,,
36,BUS RAIDER PCB V2.01,,,1,,,,https://easyeda.com/robdobsn/busraider-2-01,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
